DATE,USGG6M,USGG3M,USGG10YR,SPX_12MEPS,PE,SP_OPEN,SP_HIGH,SP_LOW,SP_LAST,BM,SPY,SPYDPS,GSCI,BDI,VIX,DG_Ord,DG_Ship,ICJ,BAA_Yield,AAA_Yield,MVOLNU,ShortInt,CL1,CL4,NYAVOL,CAPE,CPI,SIM
03/01/2006,4.3471,4.1144,4.3637,69.62,17.1482,1248.29,1270.22,1245.74,1268.8,2.7722,126.68,2.6867,438.1793,2438,11.14,#N/A,#N/A,#N/A,6.21,5.26,#N/A,#N/A,63.14,64.84,7912.410156,#N/A,#N/A,0.092307692
04/01/2006,4.3507,4.1798,4.3422,69.65,17.2086,1268.8,1275.37,1267.74,1273.46,2.7822,127.31,2.6867,438.5544,2468,11.37,#N/A,#N/A,#N/A,6.2,5.25,#N/A,#N/A,63.42,65,7962.939941,#N/A,#N/A,0.1
05/01/2006,4.3502,4.1793,4.3519,69.64,17.2094,1273.46,1276.91,1270.3,1273.48,2.7827,127.41,2.6867,432.1028,2495,11.31,#N/A,#N/A,#N/A,6.2,5.26,#N/A,#N/A,62.79,64.41,7944.060059,#N/A,#N/A,0.107692308
06/01/2006,4.3698,4.1985,4.3733,69.64,17.3712,1273.48,1286.09,1273.48,1285.45,2.8088,128.45,2.6867,437.9121,2497,11,#N/A,#N/A,#N/A,6.22,5.28,#N/A,#N/A,64.21,65.79,8031.660156,#N/A,#N/A,0.115384615
09/01/2006,4.3693,4.2084,4.3654,69.66,17.4323,1285.45,1290.78,1284.82,1290.15,2.8188,128.76,2.6867,433.589,2493,11.13,#N/A,#N/A,#N/A,6.22,5.28,#N/A,#N/A,63.5,65.26,8053.419922,#N/A,#N/A,0.138461538
10/01/2006,4.4142,4.2838,4.4243,69.66,17.426,1290.15,1290.15,1283.76,1289.69,2.8178,128.92,2.6867,432.5556,2470,10.86,#N/A,#N/A,#N/A,6.27,5.31,#N/A,#N/A,63.37,65.11,8030.589844,#N/A,#N/A,0.146153846
11/01/2006,4.4354,4.2937,4.4518,69.66,17.4863,1289.72,1294.9,1288.12,1294.18,2.8276,129.34,2.6867,432.8849,2428,10.94,#N/A,#N/A,#N/A,6.3,5.34,#N/A,#N/A,63.94,65.33,8063.509766,#N/A,#N/A,0.153846154
12/01/2006,4.4243,4.3035,4.4026,69.66,17.3765,1294.18,1294.18,1285.04,1286.06,2.8099,128.76,2.6867,433.032,2382,11.2,#N/A,#N/A,#N/A,6.25,5.29,#N/A,#N/A,63.94,65.35,8008.089844,#N/A,#N/A,0.161538462
13/01/2006,4.4116,4.3222,4.3534,69.66,17.3974,1286.06,1288.96,1282.78,1287.61,2.8133,128.65,2.6867,434.4162,2341,11.23,#N/A,#N/A,#N/A,6.18,5.23,#N/A,#N/A,63.92,65.53,8025.939941,#N/A,#N/A,0.169230769
17/01/2006,4.4211,4.3212,4.324,69.66,17.3335,1287.61,1287.61,1278.61,1282.93,2.8031,128.36,2.6867,446.9045,2263,11.91,#N/A,#N/A,#N/A,6.17,5.21,#N/A,#N/A,66.31,67.77,7992.600098,#N/A,#N/A,0.2
