DATE,CL1,CL4,MVOLNU,AAA_Yield,BAA_Yield,ICJ,VIX,BDI,GSCI,SPYDPS,SPY,BM,SP_LAST,SP_LOW,SP_HIGH,SP_OPEN,PE,SPX_12MEPS,USGG10YR,USGG3M,USGG6M,SIM
02/01/1996,19.81,19.81,#N/A,6.91,7.38,#N/A,12.19,1598,207.425,1.528,62.073,2.9532,620.73,613.17,620.74,615.93,17.9583,34.56,5.591,5.118,5.184,0.076923077
03/01/1996,19.89,19.89,#N/A,6.89,7.37,#N/A,12.1,1589,208.8446,1.528,62.132,2.9556,621.32,619.56,623.25,620.73,17.9727,34.57,5.574,5.206,5.21,0.084615385
04/01/1996,19.91,19.91,#N/A,6.96,7.44,#N/A,13.78,1589,208.1829,1.528,61.77,2.9392,617.7,613.96,624.49,621.32,17.8701,34.56,5.646,5.194,5.22,0.092307692
05/01/1996,20.26,20.26,#N/A,6.98,7.5,#N/A,13.58,1583,208.8923,1.528,61.671,2.9363,616.71,612.02,617.7,617.7,17.85,34.55,5.673,5.182,5.218,0.1
08/01/1996,20.26,20.26,#N/A,#N/A,#N/A,#N/A,13.11,1579,208.0737,1.528,61.846,2.9446,618.46,616.49,618.46,616.71,17.9017,34.55,5.681,5.171,5.217,0.123076923
09/01/1996,19.95,19.95,#N/A,6.97,7.46,#N/A,15.21,1577,204.3602,1.528,60.945,2.9015,609.45,608.21,619.15,618.46,17.6421,34.55,5.744,5.149,5.184,0.130769231
10/01/1996,19.67,19.67,#N/A,7.06,7.57,#N/A,16.4,1570,200.6684,1.528,59.848,2.8492,598.48,597.29,609.45,609.45,17.3227,34.55,5.817,5.174,5.188,0.138461538
11/01/1996,18.79,18.79,#N/A,7.06,7.56,#N/A,14.69,1565,194.0336,1.528,60.269,2.8692,602.69,597.54,602.71,598.48,17.4453,34.55,5.775,5.171,5.174,0.146153846
12/01/1996,18.25,18.25,#N/A,7.05,7.54,#N/A,14.23,1550,190.1284,1.528,60.181,2.8645,601.81,597.46,604.8,602.69,17.4166,34.55,5.737,5.171,5.174,0.153846154
15/01/1996,18.38,18.38,#N/A,#N/A,#N/A,#N/A,14.99,1543,187.106,1.528,59.982,2.8549,599.82,598.47,603.43,601.81,17.3581,34.55,#N/A,#N/A,#N/A,0.176923077
16/01/1996,18.05,18.05,#N/A,7.01,7.5,#N/A,14.09,1541,183.8825,1.528,60.844,2.9117,608.44,599.05,608.44,599.82,17.7217,34.33,5.627,5.139,5.056,0.184615385
17/01/1996,18.52,18.52,#N/A,6.95,7.43,#N/A,14.25,1538,186.8267,1.528,60.637,2.9007,606.37,604.7,609.93,608.44,17.6577,34.34,5.575,5.133,5.049,0.192307692
18/01/1996,19.18,19.18,#N/A,6.91,7.39,#N/A,13.58,1541,187.6456,1.528,60.824,2.9114,608.24,604.12,608.27,606.37,17.7222,34.32,5.524,5.111,5.027,0.2
19/01/1996,18.94,18.94,#N/A,6.9,7.38,#N/A,12.7,1538,186.7928,1.528,61.183,2.9284,611.83,606.76,612.92,608.24,17.8319,34.32,5.528,5.109,5.057,0.207692308
22/01/1996,18.62,18.62,#N/A,6.98,7.45,#N/A,13.34,1535,185.7798,1.528,61.34,2.9362,613.4,610.95,613.45,611.83,17.8803,34.32,5.61,5.129,5.099,0.230769231
23/01/1996,18.06,18.06,#N/A,7.01,7.48,#N/A,13.56,1532,187.4454,1.528,61.279,2.9329,612.79,610.65,613.4,613.4,17.8596,34.32,5.655,5.123,5.114,0.238461538
24/01/1996,18.28,18.28,#N/A,6.98,7.45,#N/A,12.54,1528,188.1286,1.528,61.996,2.9676,619.96,612.79,619.96,612.79,18.0696,34.32,5.614,5.112,5.092,0.246153846
25/01/1996,17.67,17.67,#N/A,7.03,7.49,#N/A,12.94,1531,184.9686,1.528,61.703,2.9536,617.03,616.62,620.15,619.96,17.9853,34.32,5.693,5.132,5.134,0.253846154
26/01/1996,17.73,17.73,#N/A,7,7.47,#N/A,12,1529,187.454,1.528,62.162,2.9754,621.62,615.26,621.7,617.03,18.1165,34.33,5.634,5.098,5.089,0.261538462
29/01/1996,17.45,17.45,#N/A,7.04,7.49,#N/A,12.19,1520,190.6554,1.528,62.422,2.9911,624.22,621.42,624.22,621.62,18.2213,34.28,5.684,5.15,5.131,0.284615385
30/01/1996,17.56,17.56,#N/A,6.99,7.44,#N/A,12.42,1510,193.826,1.528,63.015,3.0188,630.15,624.22,630.29,624.22,18.3927,34.29,5.616,5.123,5.038,0.292307692
31/01/1996,17.74,17.74,#N/A,6.97,7.42,#N/A,12.53,1503,196.8141,1.528,63.602,3.0205,636.02,629.48,636.18,630.15,18.3957,34.59,5.58,5.049,4.964,0.3
01/02/1996,17.71,17.71,#N/A,7,7.46,#N/A,12.65,1494,194.9348,1.528,63.846,3.0327,638.46,634.54,638.46,636.02,18.4673,34.59,5.597,4.996,4.963,0.307692308
02/02/1996,17.8,17.8,#N/A,7.04,7.5,#N/A,13.23,1484,195.4415,1.528,63.584,3.0201,635.84,634.29,639.26,638.46,18.3884,34.59,5.667,4.984,4.95,0.315384615
05/02/1996,17.54,17.54,#N/A,7.07,7.52,#N/A,13.46,1481,189.5034,1.528,64.143,3.0459,641.43,633.71,641.43,635.84,18.5835,34.53,5.69,5.004,4.982,0.338461538
06/02/1996,17.69,17.69,#N/A,7.04,7.49,#N/A,14.59,1471,193.5334,1.528,64.633,3.0692,646.33,639.68,646.67,641.43,18.7269,34.53,5.655,4.987,4.964,0.346153846
07/02/1996,17.74,17.74,#N/A,7.03,7.49,#N/A,14.11,1465,192.9356,1.528,64.993,3.0859,649.93,645.59,649.93,646.33,18.8257,34.53,5.669,4.935,4.942,0.353846154
08/02/1996,17.76,17.76,#N/A,7.05,7.51,#N/A,13.89,1456,192.1666,1.528,65.607,3.1139,656.07,647.93,656.54,649.93,19.0027,34.54,5.654,4.913,4.92,0.361538462
09/02/1996,17.78,17.78,#N/A,7.04,7.5,#N/A,14.63,1453,192.4032,1.528,65.637,3.1157,656.37,653.64,661.08,656.07,19.0127,34.53,5.66,4.932,4.918,0.369230769
12/02/1996,17.97,17.97,#N/A,6.98,7.44,#N/A,14.69,1449,191.2592,1.528,66.145,3.1406,661.45,656.34,662.95,656.37,19.163,34.53,5.592,4.931,4.896,0.392307692
13/02/1996,18.91,18.91,#N/A,6.97,7.42,#N/A,14.94,1448,195.3323,1.528,66.051,3.1359,660.51,657.92,664.23,661.45,19.1362,34.52,5.576,4.925,4.868,0.4
14/02/1996,18.96,18.96,#N/A,7.01,7.46,#N/A,15.59,1445,194.6649,1.528,65.558,3.1116,655.58,654.36,661.53,660.51,18.9911,34.53,5.635,4.935,4.889,0.407692308
15/02/1996,19.04,19.04,#N/A,7.09,7.55,#N/A,16.13,1440,194.0422,1.528,65.132,3.0906,651.32,651.15,656.84,655.58,18.8665,34.54,5.699,4.903,4.91,0.415384615
16/02/1996,19.16,19.16,#N/A,7.16,7.63,#N/A,15.37,1437,192.9933,1.528,64.798,3.0761,647.98,646.99,651.42,651.32,18.7782,34.52,5.779,4.89,4.918,0.423076923
