DATE,NYSINYSE,DGSHTOT,DGNOTOT,CAPE,CPI
30/09/2017,17058.38477,240339,238404,30.168,246.819
31/08/2017,16448.10352,238196,233709,29.915,245.519
31/07/2017,16637.86328,236492,228981,30.002,244.786
30/06/2017,16876.05859,236311,245705,29.749,244.955
31/05/2017,16207.0332,236344,230976,29.313,244.733
30/04/2017,15730.46973,233336,230986,28.904,244.524
31/03/2017,15993.66992,233738,232817,29.087,243.801
28/02/2017,15517.83106,233895,227461,28.655,243.603
31/01/2017,14902.15332,233029,224395,28.064,242.839
31/12/2016,15780.27051,233300,223681,27.865,241.432
30/11/2016,16412.05664,229176,223079,26.851,241.353
31/10/2016,16364.5127,229215,233739,26.525,241.729
30/09/2016,16447.72461,229071,220333,26.728,241.428
31/08/2016,16111.28418,227081,221425,26.949,240.849
31/07/2016,16530.52344,227592,220039,26.694,240.628
30/06/2016,16922.12305,226370,211453,25.840,241.018
31/05/2016,16678.89258,225829,222159,25.695,240.229
30/04/2016,17014.73633,226709,229021,25.922,239.261
31/03/2016,18125.07422,225933,218633,25.372,238.132
29/02/2016,18509.67383,227657,215886,24.003,237.111
31/01/2016,18043.83203,229491,226580,24.206,236.916
31/12/2015,17640.28906,225908,220920,25.965,236.525
30/11/2015,17264.59766,231961,225927,26.226,237.336
31/10/2015,17996.18555,230546,227110,25.491,237.838
30/09/2015,18344.67773,233361,221142,24.497,237.945
31/08/2015,16938.96094,233596,227210,25.694,238.316
31/07/2015,16740.85352,233997,231512,26.381,238.654
30/06/2015,16205.38379,234307,233102,26.496,238.638
31/05/2015,15692.89551,231448,220679,26.806,237.805
30/04/2015,15655.37402,231526,226960,26.791,236.599
31/03/2015,15687.8584,234667,230337,26.729,236.119
28/02/2015,15321.00781,229221,219304,26.996,234.722
31/01/2015,15225.15625,230528,226806,26.492,233.707
31/12/2014,15304.79102,237044,223741,26.794,234.812
30/11/2014,15324.67871,232743,228416,26.607,236.151
31/10/2014,15787.12598,235086,230525,25.163,237.433
30/09/2014,14970.22363,237300,235647,25.918,238.031
31/08/2014,14821.66992,238211,238736,25.618,237.852
31/07/2014,14734.38086,238538,290709,25.818,238.250
30/06/2014,14531.00977,232839,238124,25.558,238.343
31/05/2014,14122.99805,231332,232665,24.943,237.900
30/04/2014,14309.43945,229265,236290,24.786,237.072
31/03/2014,14676.22559,231443,233750,24.956,236.293
28/02/2014,14256.68164,229453,229822,24.591,234.781
31/01/2014,13818.67481,224021,221898,24.860,233.916
31/12/2013,13797.64941,226032,230735,24.862,233.049
30/11/2013,13940.76465,233377,238295,24.642,233.069
31/10/2013,13757.58203,225946,224605,23.835,233.546
30/09/2013,14006.16016,225754,231395,23.442,234.149
31/08/2013,13749.2002,224685,221749,23.357,233.877
31/07/2013,14096.18164,220242,215452,23.492,233.596
30/06/2013,13881.77539,225667,240895,22.925,233.504
31/05/2013,13510.22754,225378,231193,23.412,232.945
30/04/2013,13356.58203,222035,220286,22.596,232.531
31/03/2013,13624.23535,223868,211757,22.419,232.773
28/02/2013,13108.51074,223649,229202,22.053,232.166
31/01/2013,12830.18555,219389,216919,21.900,230.280
31/12/2012,13604.70606,222416,230294,21.238,229.601
30/11/2012,13604.23242,220650,218345,20.898,230.221
31/10/2012,13357.2168,216207,218153,21.577,231.317
30/09/2012,14016.0791,218131,216919,21.784,231.407
31/08/2012,13816.40039,215574,202598,21.410,230.379
31/07/2012,13964.54492,218103,224611,20.999,229.104
30/06/2012,14740.97461,220737,218729,20.548,229.478
31/05/2012,13480.09082,220962,217012,20.941,229.815
30/04/2012,12934.40918,218795,218897,21.779,230.085
31/03/2012,12833.56836,217868,220496,22.054,229.392
29/02/2012,12571.96484,216252,224092,21.797,227.663
31/01/2012,13394.25781,217434,224677,21.213,226.665
31/12/2011,13535.70996,214528,226410,20.524,225.672
30/11/2011,14101.2041,211034,216898,20.345,226.230
31/10/2011,14673.44824,212397,209201,20.156,226.421
30/09/2011,15690.52734,208189,208403,19.698,226.889
31/08/2011,14377.8291,209873,215074,20.050,226.545
31/07/2011,13412.42383,209102,208990,22.611,225.922
30/06/2011,13485.62402,204207,200008,22.101,225.722
31/05/2011,13484.11816,203275,205946,23.059,225.964
30/04/2011,13005.39648,202879,201736,23.144,224.906
31/03/2011,12948.37402,206433,210464,22.899,223.467
28/02/2011,12759.61816,199804,194899,23.490,221.309
31/01/2011,12819.37695,200085,204128,22.978,220.223
31/12/2010,13922.35254,198099,194759,22.396,219.179
30/11/2010,14007.4668,194561,195734,21.701,218.803
31/10/2010,14633.17676,195947,194980,21.240,218.711
30/09/2010,14670.33203,195249,200338,20.381,218.439
31/08/2010,13987.75293,193788,192410,19.770,218.312
31/07/2010,14242.72754,193404,190077,19.669,218.011
30/06/2010,14480.52344,188665,186484,19.742,217.965
31/05/2010,13893.72656,188592,186393,20.480,218.178
30/04/2010,13899.93262,187104,187274,21.805,218.009
31/03/2010,14132.85352,182231,179211,21.005,217.631
28/02/2010,14002.61328,179897,176497,19.921,216.741
31/01/2010,13347.27246,183461,182987,20.528,216.687
31/12/2009,13534.2793,180304,159713,20.322,215.949
30/11/2009,13181.25586,177598,162170,19.813,216.330
31/10/2009,13437.07324,174270,162629,19.358,216.177
30/09/2009,13524.875,174040,157770,18.832,215.969
31/08/2009,14196.40137,169252,158160,18.094,215.834
31/07/2009,15638.1416,167088,156453,16.695,215.351
30/06/2009,15348.19531,163106,145217,16.384,215.693
31/05/2009,15146.125,163906,150684,15.996,213.856
30/04/2009,15703.37891,166105,143769,14.982,213.240
31/03/2009,16169.34375,171494,144350,13.324,212.709
28/02/2009,13802.17578,175394,146163,14.122,212.193
31/01/2009,13383.70508,175563,153567,15.175,211.143
31/12/2008,13710.40527,189360,173752,15.376,210.228
30/11/2008,13577.34082,196993,184310,15.260,212.425
31/10/2008,13610.52148,206439,192433,16.387,216.573
30/09/2008,17695.63867,216537,211788,20.363,218.783
31/08/2008,17803.73633,218450,216876,21.402,219.086
31/07/2008,18610.21094,225175,223460,20.907,219.964
30/06/2008,17654.02734,225853,229237,22.417,218.815
31/05/2008,15995.00293,224746,230055,23.696,216.632
30/04/2008,15625.46484,227519,229308,23.356,214.823
31/03/2008,16009.6875,222309,231216,22.607,213.528
29/02/2008,14369.95215,227292,233636,23.495,211.693
31/01/2008,13850.66016,228411,236426,24.022,211.080
31/12/2007,12646.06836,225368,243079,25.956,210.036
30/11/2007,12387.95801,226622,232795,25.729,210.177
31/10/2007,11654.66602,224996,228963,27.321,208.936
30/09/2007,11841.05176,225829,227276,26.726,208.490
31/08/2007,12466.51172,227418,233929,26.149,207.917
31/07/2007,12950.72656,226069,238451,27.410,208.299
30/06/2007,12467.2832,225302,229731,27.418,208.352
31/05/2007,11746.77246,225846,227263,27.548,207.949
30/04/2007,10989.49707,223140,231816,26.976,206.686
31/03/2007,10510.4043,221712,228802,26.228,205.352
28/02/2007,9595.242188,218764,222033,27.315,203.499
31/01/2007,9680.953125,214658,217697,27.208,202.416
31/12/2006,9653.015625,222198,229595,27.283,201.800
30/11/2006,9648.665039,214440,225791,26.928,201.500
31/10/2006,9744.698242,213123,217172,26.538,201.800
30/09/2006,9736.371094,213373,236085,25.644,202.900
31/08/2006,9635.984375,214796,210229,25.051,203.900
31/07/2006,9298.283203,207962,212434,24.697,203.500
30/06/2006,9087.30957,215160,221025,24.750,202.900
31/05/2006,8613.110352,214920,215192,25.651,202.500
30/04/2006,8354.989258,208873,214798,26.147,201.500
31/03/2006,8243.648438,214357,226896,26.328,199.800
28/02/2006,8072.744141,213304,218105,26.250,198.700
31/01/2006,8495.416992,210162,207887,26.469,198.300
31/12/2005,8509.277344,213486,220093,26.444,196.800
30/11/2005,8805.47168,207996,222199,25.932,197.600
31/10/2005,8646.881836,207641,210220,24.877,199.200
30/09/2005,8561.975586,204647,203914,25.730,198.800
31/08/2005,8585.418945,201312,204771,26.104,196.400
31/07/2005,8356.999023,197279,197036,26.288,195.400
30/06/2005,8406.439453,199572,209315,26.068,194.500
31/05/2005,8568.573242,199633,206325,25.650,194.400
30/04/2005,8439.004883,201251,195176,25.409,194.600
31/03/2005,8419.194336,194994,186766,26.339,193.300
28/02/2005,8007.342285,197470,195414,26.745,191.800
31/01/2005,7733.762207,198948,193711,26.587,190.700
31/12/2004,7715.766602,196220,192812,27.145,190.300
30/11/2004,7825.383301,191494,192550,26.465,191.000
31/10/2004,7955.344727,191828,185524,25.412,190.900
30/09/2004,7749.884766,190459,188154,25.668,189.900
31/08/2004,7675.491699,189857,184903,25.174,189.500
31/07/2004,7539.540527,184733,187000,25.696,189.400
