DATE,DP,PE,BM,CAPE,prj
31/01/2006,-3.8600379563174565,17.2462,2.7995,26.47,-2.9608114471171136
01/02/2006,-3.8668367165345083,17.2833,2.8061,26.47,-2.976077491225767
02/02/2006,-3.855164499100721,17.1274,2.7806,26.47,-2.912490885645857
03/02/2006,-3.850425528064531,17.0261,2.7657,26.47,-2.871391515235215
06/02/2006,-3.8530347408514043,17.0395,2.7678,26.47,-2.876881654211907
07/02/2006,-4.1010276683486575,16.9015,2.7454,26.47,-2.82598814431587
08/02/2006,-4.10991168013882,17.0479,2.7692,26.47,-2.8856429137991326
09/02/2006,-4.108172824183769,17.0227,2.7651,26.47,-2.875369795915755
10/02/2006,-4.110069608123987,17.0654,2.772,26.47,-2.8927506983643863
13/02/2006,-4.10872642457752,17.0084,2.7629,26.47,-2.8695842791971224
14/02/2006,-4.118482599522884,17.1791,2.7906,26.47,-2.9391234408409064
15/02/2006,-4.1220777577523835,17.2393,2.8004,26.47,-2.963653676794739
16/02/2006,-4.129539318874624,17.3655,2.8207,26.47,-3.0150527871810837
17/02/2006,-4.1270583127950475,17.3367,2.8160000000000003,26.47,-3.0033004500309346
21/02/2006,-4.124726765923961,17.2799,2.8068,26.47,-2.9801821282299112
22/02/2006,-4.130390745064841,17.4098,2.8279,26.47,-3.0330656652433907
23/02/2006,-4.128919644183997,17.3439,2.8173,26.47,-3.0062762260360016
24/02/2006,-4.131318747606113,17.3411,2.8198,26.47,-3.005469233766809
27/02/2006,-4.132323112815896,17.3946,2.8304,26.47,-3.0274032209058754
28/02/2006,-4.122779648988062,17.1898,2.7972,26.25,-2.742646117302729
01/03/2006,-4.130932184533535,17.3318,2.8203,26.25,-2.8004997701341767
02/03/2006,-4.130932184533535,17.305,2.8154,26.25,-2.789561652837868
03/03/2006,-4.1269806820843,17.2689,2.8091,26.25,-2.774774121103767
06/03/2006,-4.122311776240912,17.1485,2.7895,26.25,-2.7257661214823297
07/03/2006,-4.1204380931258076,17.1166,2.7843,26.25,-2.7127675324223675
08/03/2006,-4.122701685397019,17.1514,2.79,26.25,-2.726954969397019
09/03/2006,-4.11620942590049,17.0678,2.7764,26.25,-2.6928593989861045
10/03/2006,-4.12511573477246,17.1931,2.7968,26.25,-2.743946359898425
13/03/2006,-4.127601559092991,17.2294,2.8027,26.25,-2.7587435821660926
14/03/2006,-4.137483520154672,17.4084,2.8318,26.25,-2.831661757062378
15/03/2006,-4.141929334621335,17.4828,2.8439,26.25,-2.8619771459340275
16/03/2006,-4.14376321608586,17.5138,2.8489999999999998,26.25,-2.8746137086383485
17/03/2006,-4.140704875908619,17.5395,2.8531,26.25,-2.8849823862769868
20/03/2006,-4.139095495172696,17.5224,2.8472,26.25,-2.8777064831108055
21/03/2006,-4.133249324675873,17.4169,2.8301,26.25,-2.834733966151269
22/03/2006,-4.139172191111683,17.5218,2.8471,26.25,-2.877464116770444
23/03/2006,-4.137099333281453,17.4765,2.8398,26.25,-2.8590255432809064
24/03/2006,-4.138097912309779,17.493,2.8427,26.25,-2.8657695281647197
27/03/2006,-4.136714998751952,17.444000000000003,2.8372,26.25,-2.84607024840683
28/03/2006,-4.130468111511052,17.3317,2.819,26.25,-2.8003276483857453
29/03/2006,-4.136330516452626,17.4613,2.84,26.25,-2.8530885879613197
30/03/2006,-4.134637035946293,17.4267,2.8343,26.25,-2.838991172484259
31/03/2006,-4.134945154882638,16.8755,2.7755,26.33,-2.6912429655408427
03/04/2006,-4.133943421028885,16.9706,2.7835,26.33,-2.72914510602301
04/04/2006,-4.14055171309625,17.0767,2.8009,26.33,-2.772396428080484
05/04/2006,-4.144144851781062,17.1502,2.8129,26.33,-2.8023328741276656
06/04/2006,-4.142923104530739,17.1175,2.8075,26.33,-2.789016241590267
07/04/2006,-4.132786325979431,16.9404,2.7784,26.33,-2.716835256029893
10/04/2006,-4.134405884425442,16.9501,2.7801,26.33,-2.72082092885621
11/04/2006,-4.125970934047128,16.8189,2.7585,26.33,-2.667324249033573
12/04/2006,-4.127368775386799,16.8392,2.7619,26.33,-2.6756089833390053
13/04/2006,-4.126437098300773,16.8525,2.7643,26.33,-2.6810148290098077
17/04/2006,-4.125815497659157,16.803,2.7561,26.33,-2.66087973774103
18/04/2006,-4.1411642236429245,17.0947,2.804,26.33,-2.77973753910558
19/04/2006,-4.14368687146621,17.1246,2.8089,26.33,-2.7919395891798877
20/04/2006,-4.144678897187614,17.1481,2.8131,26.33,-2.801542321025373
21/04/2006,-4.144678897187614,17.1458,2.8127,26.33,-2.8006055498234668
24/04/2006,-4.143152295868311,17.0826,2.8034,26.33,-2.7749934617279073
25/04/2006,-4.139095495172696,16.9994,2.7897,26.33,-2.7410953978529182
26/04/2006,-4.139325565345113,17.0472,2.7976,26.33,-2.760529532337396
27/04/2006,-4.1439158878418825,17.1035,2.8068,26.33,-2.7834994681094223
28/04/2006,-4.146888337726813,17.1232,2.81,26.33,-2.791563517469747
01/05/2006,-4.13963224325904,17.0071,2.7941,26.33,-2.7445332281038337
